num_step,output_value
0,0.12236697971820831
1,0.08297370374202728
2,0.07875712215900421
3,0.08702568709850311
4,0.15194900333881378
5,0.12101574242115021
6,0.09359613060951233
7,0.07291887700557709
8,0.0651235431432724
9,0.06563903391361237
10,0.06314876675605774
11,0.05898696184158325
12,0.054531730711460114
13,0.05209455266594887
14,0.05031909421086311
15,0.047579165548086166
16,0.043763596564531326
17,0.041785795241594315
18,0.04314994812011719
19,0.04352669045329094
20,0.04332806542515755
21,0.042387910187244415
22,0.04310165345668793
23,0.0428849533200264
24,0.04358169808983803
25,0.04376479983329773
26,0.024415303021669388
27,0.024044431746006012
28,0.023632118478417397
29,0.02319745160639286
30,0.022888462990522385
31,0.02285234071314335
32,0.022632291540503502
33,0.0224755872040987
34,0.02283376269042492
35,0.022747142240405083
36,0.023078471422195435
37,0.02397485263645649
38,0.025818781927227974
39,0.031159603968262672
